Group,Sample Size (n),Mean,Std Deviation,Variance,Median,25th Percentile,75th Percentile,IQR,Minimum,Maximum,Skewness,Kurtosis
Group Stage Matches,72,22.2917,6.4096,41.0827,22.0,17.75,27.0,9.25,10.0,44.0,0.5426,0.7883
Knockout Stage Matches,31,25.3226,7.635,58.2925,24.0,21.5,28.0,6.5,13.0,46.0,0.9965,1.2051
