group,n,mean,median,std_dev,min,q1,q3,max,skewness
Winning teams,60,5.3333,5.0,3.1712,0,3.0,6.25,19,1.5573
Losing teams,60,3.85,3.0,2.8808,0,2.0,5.0,14,1.4972
